Category,latex
Mixed forest,Mixed forest & Closed & 82 (7.7\%) & 68 (6.2\%) & 14 (27.5\%) \\
Deciduous forest,Deciduous forest & Closed & 97 (9.2\%) & 68 (6.2\%) & 15 (29.4\%) \\
Conifer forest,Conifer forest & Closed & 99 (9.3\%) & 55 (5.0\%) & 13 (25.5\%) \\
Alluvial zone,Alluvial zone & Mixed & 3 (0.3\%) & 4 (0.4\%) & 2 (3.9\%) \\
Orchards \& vineyards,Orchards \& vineyards & Mixed & 16 (1.5\%) & 29 (2.7\%) & 6 (11.8\%) \\
Roadside,Roadside & Mixed & 46 (4.3\%) & 67 (6.1\%) & 16 (31.4\%) \\
Transition,Transition & Mixed & 71 (6.7\%) & 70 (6.4\%) & 23 (45.1\%) \\
Quarry,Quarry & Open & 2 (0.2\%) & 1 (0.1\%) & 1 (2.0\%) \\
Gravel,Gravel & Open & 4 (0.4\%) & 4 (0.4\%) & 2 (3.9\%) \\
Marsh,Marsh & Open & 6 (0.6\%) & 11 (1.0\%) & 5 (9.8\%) \\
Wetland,Wetland & Open & 7 (0.7\%) & 3 (0.3\%) & 3 (5.9\%) \\
Scree,Scree & Open & 23 (2.2\%) & 8 (0.7\%) & 6 (11.8\%) \\
Dry meadow,Dry meadow & Open & 38 (3.6\%) & 63 (5.8\%) & 19 (37.3\%) \\
Built zone,Built zone & Open & 52 (4.9\%) & 57 (5.2\%) & 13 (25.5\%) \\
Other open,Other open & Open & 513 (48.4\%) & 582 (53.4\%) & 35 (68.6\%) \\
