"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic"
"WY_2__L_SoilTSt",0,0,-3654.01492104336,122.332156687323,177.865099021072,18.1045460994017,7308.02984208672,244.664313374646
"WY_2__L_CnpyOpn",-28.2604495324478,25.0088696760712,-3682.27537057574,127.689893433789,266.334189278166,25.8045899128387,7364.55074115148,255.379786867578
"WY_2__L_Pasture",-41.9943011624986,19.1098229986306,-3696.00922220582,123.661319331679,201.832812143182,18.7324743399594,7392.01844441163,247.322638663357
"WY_2__L_VegTot",-46.5969037919171,14.2276205455896,-3700.61182483531,122.985444531619,168.057680462495,16.624675326641,7401.22364967062,245.970889063238
"WY_1__R_grwnDD0",-55.4115314307354,12.7257309497557,-3709.42645247399,122.290067391755,141.650656404501,15.7547768957271,7418.85290494798,244.580134783509
"WY_2__R_lcH",-61.0914137564136,14.1626296689838,-3715.10633479978,123.571979759333,166.064062065766,18.6601531206405,7430.21266959955,247.143959518666
"WY_2__R_rdLen",-63.6731612812707,14.6738223418168,-3717.68808232473,122.619763340448,148.743827660998,15.7709695347841,7435.37616464945,245.239526680896
"WY_2__R_aspctN",-69.3387851184783,13.5735782294456,-3723.35370616195,123.095626264804,151.231095867089,15.463925793021,7446.70741232391,246.191252529609
"WY_2__R_Edge",-81.4692397372251,13.3062599098676,-3735.48416078055,123.850627937738,154.606444848242,17.2722226326513,7470.9683215611,247.701255875477
"WY_2__R_npp",-85.5156781591646,13.807244358418,-3739.53059920229,124.415632041205,157.613054885512,19.258642325079,7479.06119840458,248.83126408241
"WY_2__R_bldgPer",-94.1709477186314,17.6240447012404,-3748.185868762,122.589757629199,145.147188929914,14.9312848330981,7496.37173752401,245.179515258399
"WY_2__R_AP",-141.619223471332,19.4589324189943,-3795.63414451482,123.869373162329,176.692700154032,17.4541020807719,7591.26828902964,247.738746324658
"WY_1__R_rdLen",-194.176695985196,28.3479563630838,-3848.19161702899,124.452785081426,108.247900219756,10.5439406353172,7696.38323405797,248.905570162852
"WY_1__R_Edge",-228.116334083422,26.7624653715635,-3882.13125512691,127.182822780611,124.440769550209,11.892953914501,7764.26251025382,254.365645561221
"WY_1__L_SoilTSt",-245.457017189007,24.5384234803054,-3899.47193823236,127.370469216091,144.034071377174,13.8996754097668,7798.94387646473,254.740938432183
"WY_1__L_Pasture",-258.101875961375,29.7171412872102,-3912.1167970048,129.169209093832,187.639328955364,17.3162697605224,7824.23359400959,258.338418187664
"WY_1__L_CnpyOpn",-273.195471660619,32.0608979599039,-3927.21039270363,131.803703054674,231.876081410306,22.1049174834037,7854.42078540726,263.607406109347
"WY_1__L_VegTot",-285.822984977159,27.7274773523568,-3939.83790602047,127.360054799831,126.237942835571,11.3690695643593,7879.67581204094,254.720109599661
"WY_1__R_lcH",-290.065468695554,27.5730422630676,-3944.08038973901,128.363374742934,129.466062238565,13.8045378631568,7888.16077947802,256.726749485869
"WY_1__R_bldgPer",-293.65696920562,32.3203663946198,-3947.67189024889,127.030906893583,101.741323744231,9.28599708533616,7895.34378049778,254.061813787166
"WY_1__R_aspctN",-295.332806325478,26.8342834376028,-3949.34772736867,128.352605826702,127.872279038367,13.1049418543643,7898.69545473733,256.705211653403
"WY_1__R_npp",-323.565245161298,28.4764055759384,-3977.58016620444,128.100862593214,107.648408388466,11.0700713420015,7955.16033240888,256.201725186429
"WY_1__R_AP",-524.787629170506,50.3933208167404,-4178.80255021374,131.16397945495,242.478147251204,19.9276425880867,8357.60510042748,262.327958909901
